
2024/07/31 (21:28:00) | ===> btop++ v.1.3.2
2024/07/31 (21:28:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (11:32:12) | ===> btop++ v.1.3.2
2024/08/01 (11:32:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (15:19:42) | ===> btop++ v.1.3.2
2024/08/01 (15:19:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (10:59:20) | ===> btop++ v.1.3.2
2024/08/02 (10:59:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (11:03:51) | ===> btop++ v.1.3.2
2024/08/02 (11:03:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (11:20:34) | ===> btop++ v.1.3.2
2024/08/02 (11:20:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (11:21:48) | ===> btop++ v.1.3.2
2024/08/02 (11:21:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (23:51:44) | ===> btop++ v.1.3.2
2024/08/07 (23:51:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (23:54:19) | ===> btop++ v.1.3.2
2024/08/07 (23:54:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (23:54:37) | ===> btop++ v.1.3.2
2024/08/07 (23:54:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/07 (23:55:06) | ERROR: Exception during Config::unlock() : _Map_base::at

2024/08/07 (23:55:34) | ===> btop++ v.1.3.2
2024/08/07 (23:55:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/16 (17:25:57) | ===> btop++ v.1.3.2
2024/12/16 (17:25:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/27 (02:34:33) | ===> btop++ v.1.4.0
2024/12/27 (02:34:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/21 (02:16:03) | ===> btop++ v.1.4.0
2025/01/21 (02:16:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/21 (02:16:19) | ===> btop++ v.1.4.0
2025/01/21 (02:16:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
